GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Coaster_manager,models,Customer,48,48,0,0,11,18,6,7,6,7
Coaster_manager,models,Employee,91,106,0,0,20,41,4,18,4,18
Coaster_manager,models,Attraction,9,82,0,0,3,23,3,10,3,10
Coaster_manager,models,Maintenance_Ticket,83,72,0,0,14,28,7,13,7,13
Coaster_manager,data,Ticket,41,27,0,0,18,10,7,5,7,5
Coaster_manager,data,SQLDatabaseExtAttractions,435,285,83,23,25,58,53,6,1,5
Coaster_manager,data,GenerationDAO,460,395,73,27,80,83,43,14,0,7
Coaster_manager,data,SQLDatabaseEmployees,11,380,2,8,6,86,2,9,0,6
Coaster_manager,data,SQLDatabaseIntAttraction,441,279,83,23,28,60,53,6,1,5
Coaster_manager,data,SQLDatabaseMaintenance_Ticket,798,435,120,30,69,82,75,11,1,10
Coaster_manager,data,SQLDatabaseCustomerDAO,188,246,19,11,31,65,17,6,4,4
Coaster_manager,utils,ConnectionUtil,0,5,0,0,0,2,0,2,0,2
Coaster_manager,utils,PostgresConnectionUtil,3,31,0,0,2,10,0,3,0,3
Coaster_manager,servlets,Generation_servlet,16,0,0,0,5,0,2,0,2,0
Coaster_manager,servlets,AttractionsServlet,450,0,16,0,104,0,12,0,4,0
Coaster_manager,servlets,MaintenanceTicketServlet,363,0,26,0,104,0,22,0,9,0
Coaster_manager,servlets,EmployeeServlet,644,0,16,0,136,0,13,0,5,0
Coaster_manager,dto,MaintenanceTicketTransfer,52,0,0,0,22,0,15,0,15,0
Coaster_manager,dto,MaintenanceTicketWrapper,21,0,0,0,8,0,4,0,4,0
